date,close
1926-02-28,3.3702464887817403
1926-03-31,3.380671969346815
1926-04-30,3.3946608547997488
1926-05-31,3.394396527594893
1926-06-30,3.404822329153389
1926-07-31,3.4116847309471714
1926-08-31,3.422110859915708
1926-09-30,3.428973024815656
1926-10-31,3.4429639448553955
1926-11-30,3.4533911080201327
1926-12-31,3.463818604732476
1927-01-31,3.470680583735543
1927-02-28,3.481108353811581
1927-03-31,3.4915364424334894
1927-04-30,3.501964844036779
1927-05-31,3.5123935530881503
1927-06-30,3.519255062243334
1927-07-31,3.533251657436063
1927-08-31,3.5401130164649466
1927-09-30,3.550542535269229
1927-10-31,3.557403580814104
1927-11-30,3.5678332965849275
1927-12-31,3.574694018705085
1928-01-31,3.5851239165823428
1928-02-29,3.5955540787128037
1928-03-31,3.6059844998328856
1928-04-30,3.616415174707721
1928-05-31,3.626846098130917
1928-06-30,3.640848456002581
1928-07-31,3.651280208847541
1928-08-31,3.665284290849845
1928-09-30,3.6721441940174935
1928-10-31,3.689722201797682
1928-11-30,3.703729072572781
1928-12-31,3.70701476834404
1929-01-31,3.721022184435777
1929-02-28,3.7350306771336528
1929-03-31,3.745465137861879
1929-04-30,3.759475215238768
1929-05-31,3.7770623015893423
1929-06-30,3.7982283784071695
1929-07-31,3.812243128241869
1929-08-31,3.826258880944134
1929-09-30,3.84027562545332
1929-10-31,3.861451726075854
1929-11-30,3.8754714437135394
1929-12-31,3.889492115069391
1930-01-31,3.8963514934802657
1930-02-28,3.9067917985651786
1930-03-31,3.920813760212652
1930-04-30,3.931254596640716
1930-05-31,3.941695537658792
1930-06-30,3.952136578838432
1930-07-31,3.95899475833832
1930-08-31,3.9622695546925546
1930-09-30,3.9727099710069713
1930-10-31,3.9759839138930095
1930-11-30,3.979257515681547
1930-12-31,3.9861138839518033
1931-01-31,3.9929699297287344
1931-02-28,3.992659014846293
1931-03-31,3.999514203037964
1931-04-30,4.0027859224067335
1931-05-31,4.006057299555851
1931-06-30,4.009328334353013
1931-07-31,4.009016145714059
1931-08-31,4.012286583352927
1931-09-30,4.011974164368228
1931-10-31,4.015244004790265
1931-11-30,4.02209564951286
1931-12-31,4.028946964967035
1932-01-31,4.035797949909818
1932-02-29,4.046231054554144
1932-03-31,4.053081474037727
1932-04-30,4.059931558679779
1932-05-31,4.059615429791883
1932-06-30,4.0628819852641405
1932-07-31,4.062565626639595
1932-08-31,4.062249292648493
1932-09-30,4.065514994825679
1932-10-31,4.065198431180342
1932-11-30,4.064881892184413
1932-12-31,4.064565377835974
1933-01-31,4.064248888133105
1933-02-28,4.063932423073887
1933-03-31,4.067196509416809
1933-04-30,4.070460251029465
1933-05-31,4.070143302318931
1933-06-30,4.07340644496852
1933-07-31,4.073089266850913
1933-08-31,4.0727721134305614
1933-09-30,4.072454984705542
1933-10-31,4.072137880673932
1933-11-30,4.0753996622475634
1933-12-31,4.075082328926956
1934-01-31,4.074765020315688
1934-02-28,4.078025949027103
1934-03-31,4.077708411209176
1934-04-30,4.077390898116512
1934-05-31,4.077073409747187
1934-06-30,4.076755946099275
1934-07-31,4.076438507170851
1934-08-31,4.076121092959991
1934-09-30,4.075803703464768
1934-10-31,4.079062510334151
1934-11-30,4.078744891803786
1934-12-31,4.07842729800497
1935-01-31,4.078109728935775
1935-02-28,4.077792184594278
1935-03-31,4.077474664978552
1935-04-30,4.077157170086672
1935-05-31,4.0804141099364495
1935-06-30,4.08009638616301
1935-07-31,4.0797786871293145
1935-08-31,4.079461012833435
1935-09-30,4.079143363273446
1935-10-31,4.078825738447421
1935-11-30,4.082081065663751
1935-12-31,4.081763212091854
1936-01-31,4.081445383269805
1936-02-29,4.081127579195679
1936-03-31,4.080809799867549
1936-04-30,4.084063768459926
1936-05-31,4.083745760503744
1936-06-30,4.083427777309431
1936-07-31,4.083109818875062
1936-08-31,4.082791885198708
1936-09-30,4.086044495573337
1936-10-31,4.085726333386708
1936-11-30,4.085408195973958
